variable,description,data_type,example_levels,notes
status_death,"Death status (0 = alive/censored, 1 = died during follow-up)",double,"0,1",
censor_reason,Reason for censoring or study exit,character,"alive,rehomed,died,ltfu, moved_abroad",
censor_age_days,Age in days at censoring or death (time-to-event variable),double,,
censor_status,"Study follow-up status - active (censored at the end of study period - March 2026),ltfu (more than 730 days between last questionnaire submission and end of study) ,ineligible (moved abroad or owner no longer had dog),died",character,"active, ltfu, ineligible, died",
colour,Coat colour,character,"black,yellow,chocolate, fox red",
sex,sex of the dog,factor,"male,female",
household_type,Household composition,factor,"family,retired,more than one adult, single",
household_smoking_status,Whether the household contained smokers,character,"yes,no",
imd_quintile,Index of Multiple Deprivation quintile for owner - adjusted to England values,character,"1 - least deprived,...,5 - most deprived",
mean_bmi,Mean body mass index between 12- 24 months,double,,
mean_weight,Mean body weight (kg) between 12- 24 months,double,,
mean_height,Mean height (cm) between 12- 24 months,double,,
gonad_exp,Categorical gonadal exposure period,character,"under6m,6_12m,12_24m,over24m",
gonad_exp_over6m,"Indicator if gonadal exposure extended beyond 6 months i.e. dog was neutered before 6 months or not. Dog may not have been neutered at all, we just know they have >6m exposure to gonadal hormones",double,"0,1",
gonad_exp_over12m,Indicator if gonadal exposure extended beyond 12 months,double,"0,1",
gonad_exp_over24m,Indicator if gonadal exposure extended beyond 24 months,double,"0,1",
ovary_exp,"Indicator if gonadal exposure extended beyond 448 days (median age at neutering), high = >=448 days, low = <448 days",character,"high, low",
ex_totalhpw_mean_a,mean total exercise 12-24m (a = adult) (hours per week) (effectively sum of all below),double,,
ex_totalhpw_mean_p,mean total exercise at 3-12m(p = puppy) (hours per week) (effectively sum of all below),double,,
ex_fetch_mean_a,fetching or retrieving or chasing exercise (harder on joints) 18m (included in off lead),double,,
ex_fetch_mean_p,fetching or retrieving or chasing exercise (harder on joints) 3-12m  (included in off lead),double,,
travelled_abroad,Whether the dog has travelled outside the UK in first 24m,character,"yes,no",
diet_raw,Whether the dog was fed a raw diet once or more in first 24m,character,"yes,no",
titbits,Whether the dog is given treats/titbits once or more in first 24m,character,"yes,no",
diet_type,Main type of diet,character,"dry,wet,mixed",
parasite_control,Whether the dog has been treated for ecto or endoparasites in first 24m,character,"yes, no",
imd_cat,Dichotomised IMD variable - 0 includes quintiles 1-3 (least deprived) and 1 includes quintiles 4 and 5 (most deprived),double,"0,1",
exp_fetch_cat_90,"Dichotomised fetch/chase/retrieve variable 0-12m - 0 = 0-89th percentile, 1 = > 90th percentile",double,"0,1",
exa_fetch_cat_90,"Dichotomised fetch/chase/retrieve variable 12-24m - 0 = 0-89th percentile, 1 = > 90th percentile",double,"0,1",
colour2,Coat colour with fox red merged into 'yellow' category as per Royal Kennel Club guidelines,character,"black,yellow,chocolate",
diet_type2,Diet type reduced to dry food or any wet food in first 24m,character,"dry_only, any_wet",
ipcw_stratified,Inverse weight from the stratified censoring model for each row,double,,
